fare_id,route_id,origin_id,destination_id,contains_id
1,641_merged_67216,,,
1,40,,,
1,56,,,
1,884,,,
1,14,,,
1,74_merged_67225,,,
1,677_merged_67186,,,
1,87,,,
1,886,,,
1,691_merged_67204,,,
1,89,,,
1,649_merged_67218,,,
1,332,,,
1,37,,,
1,664,,,
1,68,,,
1,49,,,
1,59,,,
1,662_merged_67203,,,
1,22_merged_67191,,,
1,55,,,
1,220,,,
1,91_merged_67199,,,
1,53,,,
1,21,,,
1,39,,,
1,650_merged_67198,,,
1,224,,,
1,74_merged_67202,,,
1,48_merged_67223,,,
1,444,,,
1,42,,,
1,38_merged_67213,,,
1,18,,,
1,28_merged_67183,,,
1,20,,,
1,12,,,
1,440,,,
1,FX3,,,
1,690_merged_67212,,,
1,676_merged_67208,,,
1,F9,,,
1,34,,,
1,D19,,,
1,43_merged_67201,,,
1,D13,,,
1,F7,,,
1,D17,,,
1,22_merged_67214,,,
1,95,,,
1,334_merged_67219,,,
1,662_merged_67180,,,
1,FX2,,,
1,11,,,
1,672_merged_67188,,,
1,82,,,
1,642_merged_67217,,,
1,558,,,
1,672_merged_67211,,,
1,F5,,,
1,649_merged_67195,,,
1,92,,,
1,25,,,
1,885,,,
1,442,,,
1,334_merged_67196,,,
1,690_merged_67189,,,
1,330_merged_67220,,,
1,45,,,
1,694_merged_67182,,,
1,17,,,
1,887,,,
1,833,,,
1,60,,,
1,F6,,,
1,676_merged_67185,,,
1,24,,,
1,36,,,
1,32,,,
1,D12,,,
1,679,,,
1,BLUE_merged_67207,,,
1,680,,,
1,93,,,
1,46,,,
1,65,,,
1,75,,,
1,FX4,,,
1,44,,,
1,48_merged_67200,,,
1,58,,,
1,678,,,
1,26,,,
1,10,,,
1,77,,,
1,83,,,
1,677_merged_67209,,,
1,650_merged_67221,,,
1,336,,,
1,47,,,
1,70,,,
1,15,,,
1,D15,,,
1,78,,,
1,671_merged_67187,,,
1,19,,,
1,671_merged_67210,,,
1,88,,,
1,883,,,
1,551,,,
1,57,,,
1,D10,,,
1,693,,,
1,86,,,
1,38_merged_67190,,,
1,330_merged_67197,,,
1,90,,,
1,50,,,
1,F8,,,
1,54,,,
1,16,,,
1,895,,,
1,881,,,
1,85,,,
1,79,,,
1,889,,,
1,30,,,
1,223,,,
1,67,,,
1,552,,,
1,29,,,
1,28_merged_67206,,,
1,23,,,
1,31_merged_67192,,,
1,642_merged_67194,,,
1,31_merged_67215,,,
1,96,,,
1,694_merged_67205,,,
1,33,,,
1,66,,,
1,98,,,
1,D14,,,
1,41,,,
1,35,,,
1,446,,,
1,888,,,
1,BLUE_merged_67184,,,
1,D11,,,
1,641_merged_67193,,,
1,43_merged_67224,,,
1,557,,,
1,91_merged_67222,,,
1,635,,,
1,D16,,,
1,691_merged_67181,,,
1,97,,,
1,556,,,
1,71,,,
