block_id,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id
b_1-37-3,37,1,0,Cathedral & Main,3498,1_merged_67229,4362_merged_82930
a_2-16-7,16,1,1,Plaza Dr via St. Vital Centre,1001,2_merged_67228,8714_merged_67486
b_3-15-1,D15,1,0,Sage Creek,3532,3_merged_67230,11516_merged_78979
a_3-45-1,45,1,1,Downtown,1318,3_merged_67227,13358
a_1-96-1,96,1,0,Paterson Loop via Southdale,1562,1_merged_67226,6293_merged_68602
a_2-141-1,641_merged_67193,1,1,Beaumont Station via Lindenwoods West,2409,2_merged_67228,11549
b_3-70-2,70,1,0,Polo Park,3263,3_merged_67230,12184_merged_79123
a_1-33-5,33,1,1,Downtown,1927,1_merged_67226,3010_merged_72054
b_1-152-2,552,1,0,Avalon Loop,3316,1_merged_67229,5980
b_1-152-2,552,1,1,South St. Vital,3317,1_merged_67229,5981
b_1-15-8,D15,1,1,Unicity,3533,1_merged_67229,3486_merged_82824
b_3-3-6,FX3,1,1,Sturgeon & Murray Park,3475,3_merged_67230,10494_merged_78877
b_1-19-2,D19,1,0,Downtown,3443,1_merged_67229,3860_merged_82765
a_1-150-1,650_merged_67198,1,0,Fort Whyte Alive,3158,1_merged_67226,7290_merged_68581
a_2-16-4,16,1,0,Tyndall Park via Burrows,996,2_merged_67228,8671_merged_74556
a_2-47-5,47,1,0,Transcona via Kildare,3088,2_merged_67228,10208_merged_69801
a_1-46-13,46,1,0,Transcona via Regent,1326,1_merged_67226,3843_merged_72750
b_1-1-28,BLUE_merged_67207,1,1,St. Norbert,3393,1_merged_67229,256_merged_75927
a_1-100-15,60,1,1,Downtown,3092,1_merged_67226,6576_merged_69400
a_2-75-2,75,1,0,University of Manitoba,3099,2_merged_67228,10789_merged_68850
a_1-75-12,75,1,0,University of Manitoba,3096,1_merged_67226,5391_merged_72199
b_3-31-1,31_merged_67215,1,0,Riverbend,3495,3_merged_67230,11915_merged_78170
b_6-16-52,D16,1,0,Polo Park,3433,6,16709
b_6-16-52,D16,1,1,RRC Polytech,3430,6,16708
a_1-172-1,672_merged_67188,1,1,University of Manitoba,3116,1_merged_67226,7509_merged_69141
b_6-16-52,D16,1,0,Polo Park,3433,6,16705
b_6-16-52,D16,1,1,RRC Polytech,3430,6,16704
b_6-16-52,D16,1,0,Polo Park,3433,6,16707
b_6-16-52,D16,1,1,RRC Polytech,3430,6,16706
b_1-123-2,223,1,1,Westdale,3515,1_merged_67229,5057_merged_75964
b_6-16-52,D16,1,0,Polo Park,3433,6,16703
b_3-15-4,D15,1,0,Sage Creek,3532,3_merged_67230,11556_merged_79576
b_1-181-1,881,1,1,RRC Polytech,3370,1_merged_67229,6693_merged_82355
a_2-11-9,11,1,1,North Kildonan via Rothesay,903,2_merged_67228,8236_merged_73574
b_6-70-51,70,1,1,Unicity,3262,6,17258
b_6-70-51,70,1,0,Polo Park,3263,6,17259
b_3-9-3,F9,1,1,University of Manitoba,3467,3_merged_67230,11174_merged_83970
b_6-70-51,70,1,1,Unicity,3262,6,17250
b_6-70-51,70,1,0,Polo Park,3263,6,17251
b_6-70-51,70,1,1,Unicity,3262,6,17252
b_6-70-51,70,1,0,Polo Park,3263,6,17253
b_6-70-51,70,1,1,Unicity,3262,6,17254
b_1-2-11,FX2,1,0,Downtown,3544,1_merged_67229,801_merged_80123
b_1-152-1,552,1,0,Avalon Loop,3316,1_merged_67229,5964_merged_83109
b_6-70-51,70,1,0,Polo Park,3263,6,17257
a_2-26-1,26,1,0,Polo Park,1225,2_merged_67228,9618_merged_69632
b_1-15-2,D15,1,1,Unicity,3533,1_merged_67229,3409_merged_81646
b_3-22-1,22_merged_67214,1,0,Polo Park,3235,3_merged_67230,11799_merged_76338
b_2-31-2,31_merged_67215,1,1,The Forks,3494,2_merged_67231,9253
b_2-31-1,31_merged_67215,1,0,Riverbend,3493,2_merged_67231,9250
b_3-8-9,F8,1,0,Downtown,3458,3_merged_67230,11111_merged_75865
a_1-47-17,47,1,0,Transcona via Kildare,2943,1_merged_67226,4058_merged_72749
b_1-199-4,895,1,1,Jubilee Station,3390,1_merged_67229,6964_merged_77920
b_2-8-3,F8,1,1,University of Manitoba,3461,2_merged_67231,8082_merged_78543
b_3-9-2,F9,1,0,Kildonan Place,3465,3_merged_67230,11145_merged_82975
a_1-142-1,642_merged_67194,1,0,Fort Garry Industrial Park via Lindenwoods East,2411,1_merged_67226,7156_merged_72230
b_2-14-5,D14,1,1,Wall Street,3421,2_merged_67231,8700_merged_80162
a_2-141-1,641_merged_67193,1,0,Kenaston via Lindenwoods West,2410,2_merged_67228,11554_merged_71187
b_1-140-1,440,1,1,Crossroads Station,3305,1_merged_67229,5450_merged_82863
b_3-11-2,D11,1,1,Beaumont Station,3411,3_merged_67230,11285_merged_75757
b_2-8-8,F8,1,0,Downtown,3458,2_merged_67231,8180_merged_80489
a_1-33-8,33,1,0,Maples via Jefferson,1928,1_merged_67226,3058_merged_72674
b_1-145-5,442,1,1,Kildonan Place Hub,3307,1_merged_67229,5716_merged_82620
b_2-171-1,671_merged_67210,1,1,Prairie Pointe,3522,2_merged_67231,9899_merged_81605
a_1-43-1,66,1,1,Downtown (City Hall),2393,1_merged_67226,3478_merged_68026
b_3-11-3,D11,1,1,Beaumont Station,3411,3_merged_67230,11297_merged_80020
a_1-45-3,45,1,1,Downtown,1311,1_merged_67226,3719_merged_71038
b_1-142-1,642_merged_67217,1,1,Henlow & Fultz,3334,1_merged_67229,5562_merged_81260
a_1-77-5,77,1,1,Kildonan Place,1448,1_merged_67226,5455_merged_71963
a_1-14-13,14,1,0,South St. Vital via Dakota,954,1_merged_67226,750_merged_74514
b_2-5-2,F5,1,1,Fort Rouge Station,3445,2_merged_67231,7726_merged_81097
a_1-176-3,676_merged_67185,1,1,St. Vital Centre via River Road,2430,1_merged_67226,7589_merged_70291
a_1-11-16,40,1,0,All Seasons,1288,1_merged_67226,385_merged_71612
b_3-5-2,F5,1,0,Garden City Centre,3444,3_merged_67230,10708_merged_75659
b_3-19-1,D19,1,0,Downtown,3443,3_merged_67230,11761_merged_79404
a_2-33-1,33,1,0,Maples via Jefferson,1928,2_merged_67228,9752_merged_67436
a_2-100-5,BLUE_merged_67184,1,1,Downtown,2448,2_merged_67228,11239_merged_70180
b_1-6-1,F6,1,0,Templeton & Salter,3448,1_merged_67229,1763_merged_75856
a_1-44-4,44,1,0,Kildonan Place via Louelda,1300,1_merged_67226,3567_merged_70956
a_2-11-3,11,1,0,Polo Park,2920,2_merged_67228,8103_merged_73300
a_3-29-1,29,1,1,Beaumont Station via Stafford,2375,3_merged_67227,13058
a_3-29-1,29,1,0,Logan via Sherbrook,2374,3_merged_67227,13059
b_3-9-3,F9,1,1,University of Manitoba,3467,3_merged_67230,11168_merged_76312
a_3-29-1,29,1,1,Beaumont Station via Stafford,2375,3_merged_67227,13052
a_3-29-1,29,1,0,Logan via Sherbrook,2374,3_merged_67227,13053
a_3-29-1,29,1,1,Beaumont Station via Stafford,2375,3_merged_67227,13050
a_3-29-1,29,1,0,Logan via Sherbrook,2374,3_merged_67227,13051
a_3-29-1,29,1,1,Beaumont Station via Stafford,2375,3_merged_67227,13056
a_3-29-1,29,1,0,Logan via Sherbrook,2374,3_merged_67227,13057
a_3-29-1,29,1,1,Beaumont Station via Stafford,2375,3_merged_67227,13054
a_3-29-1,29,1,0,Logan via Sherbrook,2374,3_merged_67227,13055
b_1-10-9,D10,1,0,Kildonan Place,3407,1_merged_67229,2749_merged_75725
a_2-12-1,12,1,0,Polo Park,944,2_merged_67228,8294_merged_67345
b_1-4-18,FX4,1,1,Polo Park,3549,1_merged_67229,1446_merged_81736
